"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"SW-TH_DEALON_SS-12D01-GX";2;"SW_SPDT";;;
2;"R20,R21,R15,R2,R14,R3,R1,R4,R5,R17,R13,R16";"RES-TH_BD2.2-L6.5-P10.50-D0.9_Carbon";12;"330Ohm";;;
3;"J3,J2";"CONN-TH_2P-P9.50_DBT50G-9.5-2P_BORNERA_220VAC_Sasori";2;"TBLOCK-M2";;;
4;"R10,R11,R23,R9,R7,R19,R12,R8";"RES-TH_BD2.2-L6.5-P10.50-D0.9_Carbon";8;"10kOhm";;;
5;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
6;"D4,D3,D1,D7,D6,D5";"LED_D5.0mm";6;"LED";;;
7;"C1";"MetallizedPolypropyleneFilmCapacitor";1;"100nF";;;
8;"PS1";"PWRM-TH_TAS5-X-WEDT-CONVERTER-AC-DC_Sasori";1;"HS-40005";;;
9;"R6,R22";"RES-TH_BD2.2-L6.5-P10.50-D0.9_Carbon";2;"470Ohm";;;
10;"REF**";"HSINK_20_15_11_mm_TO_220";1;"HSINK_SK_95_25_STS_TO_220";;;
11;"Q1";"TO-92_Inline_Wide";1;"2N3904";;;
12;"U4";"DIP-6_L8.5-W6.4-P2.54-LS7.6-BL_MOC3021";1;"MOC3021";;;
13;"R18";"RES-TH_BD2.2-L6.5-P10.50-D0.9_Carbon";1;"1kOhm";;;
14;"U1";"DIP-14_L19.0-W7.0-P2.54-LS7.6-BL";1;"SN74HC00N";;;
15;"J1,J4";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";2;"Screw_Terminal_01x03";;;
16;"D8";"TO-220-3_L10.0-W4.5-P2.54-L_TRIAC";1;"TXDV1212";;;
17;"U5";"DIP-18_L23.0-W6.5-P2.54-LS7.6-BL";1;"ULN2803";;;
18;"S1";"SW_BUTT-2";1;"BUTTON";;;
19;"F1";"FUSE-TH_L22.6-W9.0_15A";1;"15A";;;
20;"U3";"DIP-14_L19.1-W6.4-P2.54-LS7.6-BL";1;"SN74HC14N";;;
21;"C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
